ward,year,category,location,cost,_inferred_category,_confidence,_reason,_review
1,2017,Alley Resurfacing,W CHICAGO AVE & N BISHOP ST&W FRY ST & N GREENVIEW AVE,12838.14,Alley Resurfacing,1.0,existing,NO
1,2017,Alley Speed Hump,& N FRANCISCO AVE,2800.0,Alley Speed Hump,1.0,existing,NO
1,2017,Arterial Street Bump Outs,N DAMEN AVE & W PIERCE AVE:N DAMEN AVE & W LE MOYNE ST,120000.0,Arterial Street Bump Outs,1.0,existing,NO
1,2017,Concrete Alley,ROCKWELL ST,264000.0,Concrete Alley,1.0,existing,NO
1,2017,Concrete Alley,2828 W BLOOMINGDALE AVE,120000.0,Concrete Alley,1.0,existing,NO
1,2017,Curb & Gutter,1657 W ERIE ST,18546.48,Curb & Gutter,1.0,existing,NO
1,2017,Curb & Gutter,W WABANSIA AVE & N CALIFORNIA AVE,14360.21,Curb & Gutter,1.0,existing,NO
1,2017,Unknown,N CALIFORNIA AVE & W SHAKESPEARE AVE,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N CALIFORNIA AVE & W ALTGELD ST,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N CALIFORNIA AVE & W PALMER ST,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,W MEDILL AVE & N MILWAUKEE AVE,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N MILWAUKEE AVE & N HONORE ST,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N DAMEN AVE & W HURON ST,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N DAMEN AVE & W EVERGREEN AVE,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N DAMEN AVE & W LE MOYNE ST,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N HOYNE AVE & W DIVISION ST,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,W DIVISION ST & N PAULINA ST,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N PAULINA ST & W AUGUSTA BLVD,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N CALIFORNIA AVE & W ALTGELD ST,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N DAMEN AVE & W HURON ST,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,N CALIFORNIA AVE & W SHAKESPEARE AVE,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,W DIVISION ST & N PAULINA ST,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,W DIVISION ST & N WOLCOTT AVE,600.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,W MEDILL AVE & N MILWAUKEE AVE,350.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,LaSalle II School Playground Drinking Fountain 1148 N HONORE ST,9300.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,Miscellaneous CDOT Projects (2017) CALIFORNIA AVE,634.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,50/50 Neighborhood Arts Program,20000.0,Unknown,0.0,no_pattern_match,YES
1,2017,Unknown,Neighborhood Infrastructure - Housing,37711.0,Unknown,0.0,no_pattern_match,YES
1,2017,Pedestrian Countdown Signal,W NORTH AVE & N DAMEN AVE,50888.0,Pedestrian Countdown Signal,1.0,existing,NO
1,2017,Street Resurfacing,ON N WOOD ST FROM W BEACH AVE (1420 N) TO W JULIAN ST,19187.76,Street Resurfacing,1.0,existing,NO
1,2017,Street Resurfacing,ON W OHIO ST FROM N ELIZABETH ST (1300 W) TO N ADA ST,36449.95,Street Resurfacing,1.0,existing,NO
1,2017,Street Resurfacing,BLOOMINGDALE AVE ON N CLAREMONT AVE FROM W HIRSCH ST (1400 N) TO W POTOMAC,53811.51,Street Resurfacing,1.0,existing,NO
1,2017,Street Resurfacing,AVE ON N JONES ST FROM W LOGAN BLVD (2633 N) TO N WESTERN AVE,53575.2,Street Resurfacing,1.0,existing,NO
1,2017,Street Resurfacing,AVE ON W OHIO ST FROM N ARMOUR ST (1500 W) TO N ASHLAND AVE,25443.16,Street Resurfacing,1.0,existing,NO
1,2017,Street Resurfacing,CORTLAND ST ON N CLAREMONT AVE FROM W NORTH AVE (1600 N) TO W LE MOYNE,49102.24,Street Resurfacing,1.0,existing,NO
1,2017,Street Speed Hump,BLOOMINGDALE AVE ON W SUPERIOR ST FROM N DAMEN AVE (2000 W) TO N WOLCOTT AVE,3700.0,Street Speed Hump,1.0,existing,NO
1,2017,Traffic Signal LED Upgrade,N WESTERN AVE & W LYNDALE ST,14000.0,Traffic Signal LED Upgrade,1.0,existing,NO
1,2017,Unknown,Tree Planting,50000.0,Unknown,0.0,no_pattern_match,YES
