ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
32,2017,Alley Apron,1720 N MARSHFIELD AVE,13238.58,ward1_2017_001,True,41.9131894,-87.66923251,0.97
32,2017,Alley Apron,1713 N MARSHFIELD AVE,13872.07,ward1_2017_002,True,41.91288993,-87.66875343,0.97
32,2017,Alley Resurfacing,AVE W ALTGELD ST & N GREENVIEW AVE&W MONTANA ST & N ASHLAND,40217.23,ward1_2017_003,True,41.92699812918981,-87.66579803670602,0.95
32,2017,Alley Speed Hump,AVE,2100.0,ward1_2017_004,True,,,0.0
32,2017,Alley Speed Hump,2213 N LEAVITT ST ON W ALTGELD ST FROM N ARTESIAN AVE (2430 W) TO N CAMPBELL,700.0,ward1_2017_005,True,,,0.88
32,2017,Arterial Street Bump Outs,N DAMEN AVE & W CHURCHILL ST,30000.0,ward1_2017_006,True,41.9147157176932,-87.67755510272826,0.95
32,2017,Bollard,2313 W DICKENS AVE,1839.3,ward1_2017_007,True,41.91893652,-87.68560098,0.97
32,2017,Curb & Gutter,1523 W WOLFRAM ST,16063.39,ward1_2017_008,True,41.9331446,-87.66701921,0.97
32,2017,Curb & Gutter,3204 N OAKLEY AVE,26833.04,ward1_2017_009,True,41.93975121,-87.68580411,0.97
32,2017,Curb & Gutter,1748 W WELLINGTON AVE,358.37,ward1_2017_010,True,41.9362291,-87.6728778,0.97
32,2017,Signs,N CLYBOURN AVE & W BARRY AVE,600.0,ward1_2017_011,True,41.93766599525698,-87.68557925930365,0.95
32,2017,Left-Turn Arrow,W BELMONT AVE & N RACINE AVE,2525.0,ward1_2017_012,True,41.939838037410794,-87.65896858487812,0.95
32,2017,Unknown,50/50 Neighborhood Arts Program,10000.0,ward1_2017_013,True,,,0.0
32,2017,Sidewalk,2033 W BELMONT AVE,16061.09,ward1_2017_014,True,41.93935809,-87.67979748,0.97
32,2017,Sidewalk,2320 N ALBANY AVE,73977.35,ward1_2017_015,True,41.923906610420474,-87.70462032627891,0.88
32,2017,Sidewalk,1813 N MILWAUKEE AVE,4719.03,ward1_2017_016,True,41.91442309,-87.68329808,0.97
32,2017,Sidewalk,SOUTHPORT AVE,113082.89,ward1_2017_017,True,,,0.0
32,2017,Sidewalk,2104 W WEBSTER AVE,5358.5,ward1_2017_018,True,41.9218239,-87.68061476,0.97
32,2017,Street Light Upgrade,1718 N HERMITAGE AVE,500.0,ward1_2017_019,True,41.9130353,-87.67166157,0.97
32,2017,Unknown,One Alley Light 1301 W WELLINGTON AVE,500.0,ward1_2017_020,True,,,0.0
32,2017,Street Resurfacing,DIVERSEY PKWY ON W WELLINGTON AVE FROM N PAULINA ST (1700 W) TO N,95287.33,ward1_2017_021,True,,,0.0
32,2017,Street Resurfacing,RAVENSWOOD AVE ON N JANSSEN AVE FROM W DIVERSEY PKWY (2800 N) TO N,49070.01,ward1_2017_022,True,,,0.0
32,2017,Street Resurfacing,SOUTHPORT AVE ON W WOLFRAM ST FROM N OAKLEY AVE (2250 W) TO N WESTERN AVE,45739.07,ward1_2017_023,True,,,0.88
32,2017,Street Resurfacing,N MILWAUKEE AVE & N KEDZIE AVE,16369.26,ward1_2017_024,True,41.92904203135152,-87.7073584450881,0.95
32,2017,Street Resurfacing,AVE ON W ST PAUL AVE FROM N WINNEBAGO AVE (2240 W) TO N WESTERN,49987.5,ward1_2017_025,True,,,0.88
32,2017,Street Resurfacing,AVE ON W MOFFAT ST FROM N WINNEBAGO AVE (2330 W) TO N WESTERN,69221.33,ward1_2017_026,True,,,0.88
32,2017,Street Resurfacing,AVE ON N OAKLEY AVE FROM W LYNDALE ST (2230 N) TO W SHAKESPEARE,22526.25,ward1_2017_027,True,,,0.88
32,2017,Street Resurfacing,AVE ON W CHARLESTON ST FROM N LEAVITT ST (2200 W) TO N OAKLEY AVE,21632.28,ward1_2017_028,True,,,0.88
32,2017,Street Resurfacing,WINCHESTER AVE ON W WABANSIA AVE FROM N BOSWORTH AVE (1530 W) TO N,28869.49,ward1_2017_029,True,,,0.0
32,2017,Street Resurfacing,ASHLAND AVE ON N WOLCOTT AVE FROM W ROSCOE ST (3400 N) TO W HENDERSON,24046.62,ward1_2017_030,True,,,0.88
32,2017,Street Resurfacing,GREENVIEW AVE ON W LYNDALE ST FROM N LEAVITT ST (2200 W) TO N OAKLEY AVE,24961.05,ward1_2017_031,True,,,0.88
32,2017,Street Speed Hump,N OAKLEY AVE ON W WOLFRAM ST FROM N OAKLEY AVE (2250 W) TO N WESTERN AVE,3700.0,ward1_2017_032,True,,,0.88
32,2017,Traffic Signal LED Upgrade,N WESTERN AVE & W LYNDALE ST,14000.0,ward1_2017_033,True,41.922467390879234,-87.6875666393947,0.95
